Question,Option 1,Option 2,Option 3,Option 4,Answer
Goal of data preprocessing?,Clean,Transform,Prepare,Enhance,Clean
Technique for handling missing data?,All,Mean,Remove,Impute,All
Which is the Supervised classification algorithm?,Decision,K-means,PCA,Apriori,Decision
Which of the following is not a type of computer network?,LAN,WAN,VPN,CPU,CPU
Which programming language used for web development?,Java,Python,C++,JavaScript,JavaScript
Which storage device has the fastest access time?,HDD,SSD,ODD,USB Flash,SSD
Which is the largest planet in our solar system?,Venus,Jupiter,mars,Saturn,Jupiter
What is the chemical symbol for water?,O2,H2O,CO2,NACl,H2O
What is the square root of 16?,6,4,8,2,4
What is the quotient of 20 / 5?,5,2,4,10,4
